Kode,Nama Emiten,Tanggal IPO,Tahun,Kode_YFinance
KDTN,PT Puri Sentul Permai Tbk,2022-11-09,2022,KDTN.JK
PDPP,PT Primadaya Plastisindo Tbk,2022-11-09,2022,PDPP.JK
KETR,PT Ketrosden Triasmitra Tbk,2022-11-10,2022,KETR.JK
ZATA,PT Bersama Zatta Jaya Tbk,2022-11-10,2022,ZATA.JK
NINE,PT Techno9 Indonesia Tbk,2022-12-05,2022,NINE.JK
MMIX,PT Multi Medika Internasional Tbk,2022-12-06,2022,MMIX.JK
PADA,PT Personel Alih Daya Tbk,2022-12-08,2022,PADA.JK
ISAP,PT Isra Presisi Indonesia Tbk,2022-12-09,2022,ISAP.JK
VTNY,PT Venteny Fortuna International Tbk,2022-12-15,2022,VTNY.JK
SOUL,PT Mitra Tirta Buwana Tbk,2023-01-06,2023,SOUL.JK
ELIT,PT Data Sinergitama Jaya Tbk,2023-01-06,2023,ELIT.JK
BEER,PT Jobubu Jarum Minahasa Tbk,2023-01-06,2023,BEER.JK
CBPE,PT Citra Buana Prasida Tbk,2023-01-06,2023,CBPE.JK
SUNI,PT Sunindo Pratama Tbk,2023-01-09,2023,SUNI.JK
CBRE,PT Cakra Buana Resources Energi Tbk,2023-01-09,2023,CBRE.JK
WINE,PT Hatten Bali Tbk,2023-01-10,2023,WINE.JK
BMBL,PT Lavender Bina Cendikia Tbk,2023-01-11,2023,BMBL.JK
PEVE,PT Penta Valent Tbk,2023-01-24,2023,PEVE.JK
LAJU,PT Jasa Berdikari Logistics Tbk,2023-01-27,2023,LAJU.JK
FWCT,PT Wijaya Cahaya Timber Tbk,2023-02-01,2023,FWCT.JK
NAYZ,PT Hassana Boga Sejahtera Tbk,2023-02-06,2023,NAYZ.JK
IRSX,PT Aviana Sinar Abadi Tbk,2023-02-07,2023,IRSX.JK
PACK,PT Solusi Kemasan Digital Tbk,2023-02-08,2023,PACK.JK
VAST,PT Vastland Indonesia Tbk,2023-02-08,2023,VAST.JK
CHIP,PT Pelita Teknologi Global Tbk,2023-02-08,2023,CHIP.JK
HALO,PT Haloni Jane Tbk,2023-02-08,2023,HALO.JK
KING,PT Hoffmen Cleanindo Tbk,2023-02-16,2023,KING.JK
PGEO,PT Pertamina Geothermal Energy Tbk,2023-02-24,2023,PGEO.JK
FUTR,PT Lini Imaji Kreasi Ekosistem Tbk,2023-02-27,2023,FUTR.JK
HILL,PT Hillcon Tbk,2023-03-01,2023,HILL.JK
BDKR,PT Berdikari Pondasi Perkasa Tbk.,2023-03-03,2023,BDKR.JK
PTMP,PT Mitra Pack Tbk.,2023-03-06,2023,PTMP.JK
